strategy,etf,ifa_score,sharpe,total_return_pct,cagr_pct,max_drawdown_pct,calmar,sortino,win_rate,total_trades,profit_factor,avg_trade_pct,avg_win,avg_loss,avg_bars_held,passes_gates
EMA_5_13_ADX25,SPY,0.4751,1.18,137.5,15.96,20.99,0.76,1.38,78.6,14,10.74,9.82,13749.35,-4692.94,77.9,True
IBS_15pct_5d,TQQQ,0.4699,1.039,853.97,46.0,39.83,1.155,0.99,67.1,158,1.95,5.4,16545.49,-17330.98,2.7,True
IBS_20pct_5d,TQQQ,0.4637,1.015,874.62,46.52,40.99,1.135,1.044,67.2,198,1.7,4.42,15986.44,-19276.35,2.6,True
RSI_Bounce_30_55_ATR2.5,GLD,0.4501,1.004,22.76,3.54,3.45,1.026,0.51,87.5,8,9.3,2.84,3642.56,-2741.82,13.9,False
IBS_20pct_3d,TQQQ,0.4475,0.996,736.71,42.82,38.47,1.113,1.006,65.7,207,1.59,3.56,14522.43,-17458.17,2.4,True
EMA_5_13_ADX25,UPRO,0.4429,0.93,503.42,36.03,50.4,0.715,1.059,90.0,10,5.68,50.34,67783.31,-107487.32,107.0,True
IBS_20pct_2d,TQQQ,0.418,0.939,579.06,37.9,36.72,1.032,0.921,63.0,216,1.47,2.68,13265.45,-15325.07,2.0,True
SMA200_RSI_35_75,QQQ,0.4134,0.945,56.33,8.06,12.55,0.642,0.644,80.0,5,11.99,11.27,15363.86,-5124.52,75.2,False
IBS_20pct_2d,SOXL,0.4102,0.913,924.08,47.74,68.92,0.693,0.919,63.7,234,1.2,3.95,36496.22,-53121.37,2.0,True
IBS_20pct_5d,UPRO,0.405,0.903,468.01,33.83,38.14,0.887,0.908,65.1,189,1.68,2.48,9332.35,-10325.55,2.8,True
RSI_Bounce_25_70_ATR2.5,SOXL,0.4049,0.941,780.85,44.59,46.73,0.954,0.687,100.0,4,0.0,195.21,195212.1,0.0,71.0,False
IBS_10pct_5d,UPRO,0.3974,0.867,361.13,29.23,33.93,0.862,0.692,65.5,116,2.07,3.11,9142.53,-8375.43,2.7,True
IBS_15pct_3d,TQQQ,0.3964,0.874,457.02,33.4,38.47,0.868,0.802,63.9,166,1.64,2.75,11007.19,-11842.26,2.4,True
IBS_20pct_5d,SOXL,0.3925,0.852,740.02,42.91,76.75,0.559,0.896,66.5,212,1.2,3.49,31597.55,-52344.12,2.8,True
IBS_15pct_2d,SOXL,0.3917,0.872,716.87,42.25,67.49,0.626,0.778,63.5,197,1.3,3.64,24869.77,-33252.48,1.9,True
RSI_Bounce_30_60_ATR2.5,GLD,0.3916,0.843,21.04,3.29,5.39,0.61,0.442,85.7,7,8.79,3.01,3956.6,-2700.77,21.1,False
RSI_MeanRev_25_75,SOXL,0.3915,0.912,676.71,41.54,46.72,0.889,0.64,100.0,4,0.0,169.18,169177.01,0.0,64.5,False
IBS_15pct_5d,UPRO,0.3906,0.863,387.33,30.44,38.52,0.79,0.779,65.8,155,1.75,2.5,8813.34,-9679.6,2.7,True
SMA200_RSI_40_75,QQQ,0.3884,0.872,71.91,9.86,14.18,0.695,0.721,83.3,6,7.66,11.98,16487.4,-10768.44,95.7,False
RSI_Bounce_30_70_ATR1.5,SOXL,0.3812,0.805,503.0,35.59,53.59,0.664,0.613,77.8,9,4.85,55.89,90525.74,-65338.27,33.1,False
RSI_Bounce_25_65_ATR2.5,SOXL,0.381,0.885,604.89,39.23,46.73,0.84,0.566,100.0,4,0.0,151.22,151223.42,0.0,49.2,False
RSI_Bounce_25_70_ATR2.0,SOXL,0.3766,0.87,580.94,38.42,46.72,0.822,0.609,100.0,4,0.0,145.24,145235.4,0.0,64.0,False
EMA_20_50_ADX20,GLD,0.3749,1.225,154.09,17.31,18.1,0.956,1.454,100.0,2,0.0,77.04,76858.39,0.0,549.0,False
EMA_20_50_ADX25,GLD,0.3749,1.225,154.09,17.31,18.1,0.956,1.454,100.0,2,0.0,77.04,76858.39,0.0,549.0,False
SMA100_RSI_45_75,GLD,0.3728,1.127,63.89,8.95,7.76,1.153,0.957,63.6,11,5.62,5.81,11103.81,-3460.34,43.5,True
RSI_Bounce_30_65_ATR1.5,SOXL,0.3719,0.786,457.38,33.8,53.59,0.631,0.552,77.8,9,4.74,50.82,82831.7,-61219.83,26.1,False
Bollinger_20_2,QQQ,0.367,0.951,104.25,12.91,15.22,0.848,0.964,60.0,10,7.97,10.42,19865.82,-3737.41,81.2,True
RSI_Bounce_25_65_ATR2.0,SOXL,0.3653,0.843,510.64,35.88,46.72,0.768,0.529,100.0,4,0.0,127.66,127660.94,0.0,48.0,False
RSI_Bounce_30_60_ATR1.5,SOXL,0.3646,0.77,425.63,32.47,53.59,0.606,0.521,77.8,9,4.65,47.29,77476.67,-58352.94,23.3,False
RSI_Bounce_25_60_ATR2.5,SOXL,0.3635,0.837,501.57,35.54,46.73,0.761,0.509,100.0,4,0.0,125.39,125391.29,0.0,42.5,False
IBS_5pct_5d,UPRO,0.3608,0.838,186.91,19.34,34.34,0.563,0.586,68.6,70,1.95,2.67,7998.91,-8956.16,2.8,True
EMA_12_26_ADX25,SPY,0.3591,0.512,46.94,6.81,28.24,0.241,0.615,85.7,7,16.26,6.71,8299.23,-3062.03,159.9,False
IBS_10pct_5d,SOXL,0.3538,0.767,440.21,32.71,67.74,0.483,0.666,63.8,130,1.33,3.39,21177.31,-28032.08,2.7,True
EMA_12_26_ADX20,GLD,0.3538,0.682,49.01,7.07,18.1,0.39,0.692,75.0,4,14.36,12.25,17558.41,-3667.43,200.5,False
EMA_12_26_ADX15,QQQ,0.3516,1.035,131.14,15.42,17.66,0.874,1.249,58.8,17,5.2,7.71,16197.43,-4452.31,61.8,True
RSI_Bounce_25_55_ATR2.5,SOXL,0.3514,0.81,433.27,32.8,46.73,0.702,0.466,100.0,4,0.0,108.32,108317.68,0.0,36.5,False
RSI_Bounce_30_55_ATR1.5,SOXL,0.3499,0.74,366.0,29.8,53.59,0.556,0.479,77.8,9,4.45,40.67,67420.95,-52971.1,20.7,False
RSI_Bounce_25_60_ATR2.0,SOXL,0.348,0.794,421.13,32.28,46.72,0.691,0.472,100.0,4,0.0,105.28,105283.5,0.0,41.2,False
IBS_20pct_1d,SOXL,0.3461,0.779,461.26,33.56,62.38,0.538,0.745,59.2,265,1.15,1.74,22589.85,-28582.78,1.2,True
RSI_Bounce_25_70_ATR1.5,SOXL,0.3452,0.779,412.03,31.89,46.7,0.683,0.54,100.0,4,0.0,103.01,103008.43,0.0,61.8,False
IBS_15pct_5d,SOXL,0.3439,0.723,379.82,30.1,76.07,0.396,0.686,66.5,179,1.25,2.12,15895.42,-25218.36,2.7,True
IBS_5pct_5d,TQQQ,0.3424,0.726,200.46,20.27,32.29,0.628,0.485,63.2,68,1.96,2.95,9542.74,-8395.25,2.6,True
SMA200_RSI_35_70,QQQ,0.341,1.054,54.39,7.83,8.7,0.899,0.583,71.4,7,4.5,7.77,13989.23,-7777.41,34.7,False
RSI_Bounce_25_65_ATR1.5,SOXL,0.3371,0.759,372.93,30.12,46.7,0.645,0.472,100.0,4,0.0,93.23,93233.32,0.0,46.0,False
RSI_Bounce_25_55_ATR2.0,SOXL,0.336,0.765,361.99,29.61,46.72,0.634,0.43,100.0,4,0.0,90.5,90498.32,0.0,35.2,False
SMA200_RSI_35_75,UPRO,0.3358,0.74,80.85,10.83,20.1,0.539,0.441,75.0,4,7.25,20.21,31267.02,-12946.48,66.5,False
RSI_Bounce_25_60_ATR1.5,SOXL,0.331,0.742,345.71,28.82,46.7,0.617,0.438,100.0,4,0.0,86.43,86427.55,0.0,39.8,False
IBS_20pct_5d,QQQ,0.3294,0.755,91.01,11.47,17.93,0.64,0.792,65.6,192,1.62,0.47,1884.36,-2226.76,2.6,True
IBS_15pct_5d,QQQ,0.3292,0.801,93.72,11.73,21.08,0.557,0.776,65.2,155,1.7,0.6,2231.82,-2449.03,2.6,True
Bollinger_20_2,TQQQ,0.3292,0.746,275.89,25.25,51.54,0.49,0.625,63.6,11,6.03,25.08,47252.5,-13718.29,75.4,True
IBS_10pct_5d,TQQQ,0.3276,0.707,258.94,23.91,53.87,0.444,0.584,62.8,113,1.5,2.29,10968.65,-12401.44,2.8,True
IBS_5pct_5d,GLD,0.3245,0.897,26.47,4.02,5.23,0.769,0.611,60.5,43,2.55,0.62,1673.86,-1003.2,2.9,True
IBS_20pct_3d,UPRO,0.3244,0.67,200.93,20.3,36.1,0.562,0.641,63.5,197,1.37,1.02,5894.65,-7454.95,2.4,True
IBS_5pct_5d,SPY,0.3242,0.695,32.87,4.88,8.11,0.602,0.477,69.8,63,2.02,0.52,1481.47,-1700.9,2.7,True
EMA_20_50_ADX15,QQQ,0.3219,0.886,113.29,13.85,26.19,0.529,1.065,72.7,11,4.44,10.3,18227.11,-10944.49,100.9,True
RSI_Bounce_30_55_ATR2.0,SOXL,0.3214,0.692,312.37,27.14,53.42,0.508,0.528,77.8,9,3.44,34.71,62875.05,-63880.16,28.2,False
EMA_9_21_ADX20,SPY,0.3203,0.826,94.87,12.1,23.91,0.506,1.04,75.0,12,4.55,7.91,13467.79,-8874.3,104.5,True
EMA_5_13_ADX15,TQQQ,0.3199,0.884,469.71,34.7,53.01,0.655,0.822,50.0,30,2.23,15.66,56809.36,-25495.2,30.5,True
IBS_10pct_2d,SOXL,0.3198,0.69,293.81,25.86,63.67,0.406,0.557,61.3,142,1.25,2.07,17049.3,-21626.84,1.8,True
IBS_20pct_3d,SOXL,0.319,0.672,288.73,25.58,79.61,0.321,0.685,65.1,218,1.1,1.32,22856.44,-38913.68,2.5,True
IBS_10pct_5d,SPY,0.3188,0.766,53.9,7.5,13.84,0.542,0.643,64.5,107,1.99,0.5,1555.22,-1417.02,2.6,True
RSI_Bounce_25_55_ATR1.5,SOXL,0.3188,0.71,295.02,26.21,46.7,0.561,0.396,100.0,4,0.0,73.76,73755.95,0.0,33.8,False
EMA_9_21_ADX25,GLD,0.318,0.578,44.23,6.47,22.72,0.285,0.672,75.0,4,8.85,11.06,16620.03,-5633.54,258.8,False
RSI_MeanRev_20_80,GLD,0.317,0.537,2.4,0.4,0.24,1.658,0.23,100.0,1,0.0,2.4,2404.19,0.0,6.0,False
EMA_9_21_ADX15,SPY,0.3157,0.892,83.99,11.0,17.51,0.628,1.097,65.0,20,4.01,4.2,8583.42,-3979.81,57.0,True
IBS_20pct_3d,QQQ,0.3145,0.679,71.96,9.52,14.66,0.649,0.699,64.7,201,1.5,0.36,1649.68,-2013.91,2.3,True
SMA200_RSI_40_70,QQQ,0.3117,0.872,60.89,8.6,13.24,0.65,0.618,77.8,9,3.43,6.77,12229.36,-12471.3,44.0,False
SMA100_RSI_45_70,GLD,0.3099,0.917,47.8,7.02,8.62,0.814,0.757,63.6,11,4.59,4.35,8729.63,-3326.95,41.6,True
IBS_5pct_3d,GLD,0.3094,0.817,20.47,3.17,5.01,0.633,0.609,62.8,43,2.41,0.48,1296.71,-909.13,2.3,True
IBS_15pct_2d,TQQQ,0.3093,0.66,206.72,20.69,43.5,0.476,0.57,59.8,174,1.38,1.19,7210.62,-7766.07,1.9,True
EMA_20_50_ADX15,GLD,0.3087,0.689,51.61,7.38,15.65,0.472,0.703,62.5,8,8.09,6.45,11778.32,-2427.4,105.8,False
IBS_10pct_3d,SOXL,0.3067,0.66,269.71,24.53,69.12,0.355,0.563,60.0,135,1.2,2.0,20189.21,-25289.11,2.3,True
IBS_20pct_2d,UPRO,0.3047,0.619,162.55,17.58,38.45,0.457,0.568,63.0,208,1.31,0.78,5187.69,-6724.55,2.0,True
IBS_15pct_3d,UPRO,0.3023,0.616,158.19,17.25,39.55,0.436,0.526,62.7,161,1.36,0.98,5845.7,-7216.07,2.4,True
EMA_12_26_ADX15,SPY,0.3008,0.919,83.86,10.99,14.71,0.747,1.123,56.2,16,4.31,5.24,12098.21,-3612.02,71.1,True
RSI_Bounce_30_55_ATR2.5,SOXL,0.2997,0.665,278.28,25.29,57.28,0.442,0.511,77.8,9,2.71,30.92,62963.68,-81232.95,29.1,False
RSI_MeanRev_30_70,TQQQ,0.2988,0.677,250.23,23.67,43.26,0.547,0.534,72.7,11,2.9,22.75,47669.74,-43876.26,32.0,True
RSI_Bounce_30_70_ATR2.0,TQQQ,0.2988,0.677,250.23,23.67,43.26,0.547,0.534,72.7,11,2.9,22.75,47669.74,-43876.26,32.0,True
EMA_9_21_ADX15,QQQ,0.2978,1.009,123.91,14.8,23.77,0.622,1.192,50.0,22,3.79,5.63,15264.04,-4028.69,46.4,True
SMA200_RSI_35_70,UPRO,0.2962,0.629,63.05,8.85,20.1,0.441,0.365,75.0,4,6.05,15.76,25181.81,-12497.01,62.2,False
IBS_15pct_3d,SOXL,0.2941,0.605,200.96,20.3,78.68,0.258,0.556,63.6,184,1.12,1.09,16329.58,-25529.29,2.4,True
SMA100_RSI_35_75,GLD,0.288,0.759,21.11,3.38,4.57,0.74,0.251,100.0,3,0.0,7.04,7037.59,0.0,36.7,False
RSI_Bounce_30_60_ATR2.5,TQQQ,0.2871,0.643,205.78,20.85,41.83,0.499,0.518,70.0,10,3.52,20.58,40976.41,-27164.52,29.8,True
EMA_5_13_ADX15,UPRO,0.2865,0.775,208.43,21.27,40.3,0.528,0.848,53.1,32,2.3,6.51,21670.94,-10694.41,27.8,True
IBS_15pct_1d,SOXL,0.2852,0.588,187.81,19.41,57.1,0.34,0.493,59.2,211,1.13,0.89,12741.24,-16344.98,1.2,True
IBS_10pct_3d,UPRO,0.2838,0.543,114.4,13.65,37.67,0.362,0.403,62.9,116,1.39,0.99,5538.65,-6756.62,2.4,True
EMA_20_50_ADX20,SOXL,0.2837,0.621,176.63,19.03,42.92,0.443,0.524,100.0,2,0.0,88.32,88316.67,0.0,178.0,False
EMA_20_50_ADX25,QQQ,0.2827,0.577,70.04,9.51,33.97,0.28,0.695,75.0,4,6.12,17.51,27908.18,-13687.38,266.8,False
SMA100_RSI_35_70,GLD,0.2826,0.73,20.12,3.23,4.57,0.707,0.24,100.0,3,0.0,6.71,6708.12,0.0,36.3,False
IBS_15pct_3d,QQQ,0.2822,0.594,56.11,7.76,19.21,0.404,0.554,63.6,162,1.42,0.35,1817.91,-2230.21,2.3,True
EMA_9_21_ADX25,SPY,0.2793,0.725,75.62,10.12,23.61,0.429,0.843,100.0,4,0.0,18.9,18841.92,0.0,267.5,False
IBS_20pct_1d,TQQQ,0.2787,0.596,153.03,16.85,47.42,0.355,0.591,57.5,240,1.2,0.64,6707.71,-7581.96,1.2,True
SMA_50_200,QQQ,0.2774,0.764,70.12,9.66,23.29,0.415,0.713,100.0,2,0.0,35.06,34939.64,0.0,326.5,False
SMA_50_200,GLD,0.2766,0.922,81.05,10.85,19.25,0.564,1.012,40.0,5,7.67,16.21,46449.42,-4039.46,169.8,False
RSI_Bounce_30_65_ATR2.0,TQQQ,0.275,0.615,191.34,19.87,43.27,0.459,0.452,72.7,11,2.63,17.39,38535.88,-39122.87,26.8,True
SMA100_RSI_35_75,SPY,0.2748,0.742,13.95,2.29,6.14,0.373,0.278,66.7,3,6.56,4.65,8231.74,-2508.83,34.3,False
SMA200_RSI_45_75,QQQ,0.2729,0.708,57.12,8.16,17.93,0.455,0.622,66.7,6,5.11,9.52,17687.97,-6925.73,103.0,False
IBS_10pct_5d,QQQ,0.2729,0.579,49.61,6.99,21.36,0.327,0.498,62.2,111,1.58,0.45,1943.14,-2021.31,2.7,True
SMA200_RSI_35_70,GLD,0.2722,0.751,22.09,3.52,4.59,0.768,0.364,60.0,5,5.26,4.42,9092.23,-2592.55,33.4,False
EMA_9_21_ADX25,UPRO,0.272,0.591,158.56,17.66,60.19,0.293,0.677,100.0,4,0.0,39.64,39547.09,0.0,265.5,False
IBS_10pct_3d,TQQQ,0.2711,0.51,112.83,13.51,50.27,0.269,0.399,62.5,120,1.26,0.94,7268.15,-9619.84,2.4,True
EMA_5_13_ADX15,SPY,0.271,0.824,69.11,9.41,19.23,0.489,0.957,51.4,37,2.31,1.87,6384.35,-2912.72,27.9,True
RSI_Bounce_30_55_ATR2.0,GLD,0.2696,0.706,13.06,2.1,3.44,0.611,0.336,75.0,8,3.37,1.63,3095.23,-2754.17,11.4,False
EMA_12_26_ADX25,QQQ,0.2692,0.67,94.73,12.09,36.48,0.331,0.839,100.0,3,0.0,31.58,31483.16,0.0,381.0,False
SMA200_RSI_40_65,QQQ,0.269,0.667,39.3,5.92,13.24,0.447,0.408,80.0,10,2.71,3.93,7746.54,-11436.23,28.6,True
SMA_10_30,QQQ,0.267,0.948,114.81,14.19,23.47,0.605,1.085,47.8,23,2.53,4.99,17234.53,-6256.0,43.0,True
IBS_20pct_2d,QQQ,0.2661,0.569,53.34,7.44,20.22,0.368,0.568,59.8,209,1.35,0.26,1649.44,-1824.74,1.9,True
RSI_Bounce_30_55_ATR2.5,TQQQ,0.2625,0.589,160.31,17.6,41.83,0.421,0.422,70.0,10,3.02,16.03,34167.24,-26412.03,24.0,True
SMA200_RSI_40_75,SPY,0.2624,0.828,43.13,6.42,13.24,0.485,0.69,66.7,6,3.71,7.19,14691.81,-7919.63,90.7,False
EMA_5_13_ADX15,QQQ,0.2616,0.852,101.08,12.7,24.47,0.519,1.005,45.7,35,2.14,2.89,11845.76,-4670.4,29.6,True
SMA50_RSI_45_65,SOXL,0.261,0.766,122.16,14.86,23.8,0.624,0.3,55.6,9,3.74,13.57,33357.75,-11157.45,9.6,False
IBS_20pct_5d,SPY,0.2608,0.518,43.24,6.21,15.96,0.389,0.524,59.9,182,1.39,0.24,1411.61,-1521.01,2.8,True
SMA200_RSI_45_70,SPY,0.2605,0.739,41.56,6.22,15.4,0.404,0.696,72.7,11,2.9,3.78,7896.55,-7272.87,55.9,True
EMA_5_13_ADX20,SPY,0.2597,0.833,83.87,10.99,23.87,0.46,0.986,57.1,21,2.6,3.99,11335.52,-5824.15,54.4,True
RSI_Bounce_30_60_ATR2.0,TQQQ,0.2585,0.57,156.66,17.32,43.27,0.4,0.408,72.7,11,2.43,14.24,33235.36,-36531.97,25.4,True
EMA_9_21_ADX20,QQQ,0.2584,0.725,104.39,13.02,34.11,0.382,0.897,64.3,14,3.04,7.46,17249.78,-10229.81,81.9,True
SMA200_RSI_45_70,QQQ,0.2561,0.625,44.04,6.54,17.93,0.365,0.495,77.8,9,2.91,4.89,9544.2,-11488.6,53.1,False
SMA100_RSI_40_75,SPY,0.2552,0.896,43.35,6.45,8.85,0.729,0.689,50.0,6,4.47,7.22,18527.27,-4146.4,74.0,False
IBS_15pct_2d,UPRO,0.2531,0.472,86.69,11.04,41.33,0.267,0.383,59.1,171,1.22,0.51,4715.92,-5573.52,1.9,False
SMA_50_200,SPY,0.2524,0.646,41.1,6.16,19.15,0.322,0.61,100.0,2,0.0,20.55,20449.74,0.0,338.0,False
EMA_12_26_ADX25,GLD,0.2523,0.639,43.85,6.42,21.84,0.294,0.605,100.0,3,0.0,14.62,14618.05,0.0,235.7,False
